Comment,Label
Bad lighting,0
Worst thing I’ve seen,0
This is so fake,0
Poor quality,0
Nice pic,1
Awful content,0
Bad lighting,0
Too cringe,0
Bad lighting,0
Amazing content 😍,1
Lame,0
Very nice,1
Awful content,0
It’s okay I guess,0
Too cringe,0
Clickbait,0
Brilliant content,1
Awful content,0
Poor quality,0
Very nice,1
Not impressed,0
Great stuff,1
Brilliant content,1
Poor quality,0
Inspiring video,1
So cool!,1
Brilliant content,1
It’s okay I guess,0
So boring,0
Terrible,0
Aesthetic goals,1
So cool!,1
Disappointing,0
Mixed feelings,1
Loved it!,1
Aesthetic goals,1
I don’t like this,0
Poor quality,0
I don’t like this,0
Nice work,1
Great stuff,1
Aesthetic goals,1
You’re awesome!,1
Maybe,0
Thanks for sharing,1
This made my day,1
Unoriginal,0
Lame,0
Great stuff,1
Terrible,0
I expected more,0
Unoriginal,0
Thanks for sharing,1
I don’t like this,0
Great post,1
Great stuff,1
I expected more,0
You’re awesome!,1
This made my day,1
Lame,0
Beautiful shot,1
Incredible post!,1
Disappointing,0
Aesthetic goals,1
Unoriginal,0
Poor quality,0
Ugly filter,0
Clickbait,0
You’re awesome!,1
I don’t like this,0
Beautiful shot,1
Meh,1
Low effort,0
Awful content,0
Incredible post!,1
Inspiring video,1
Awful content,0
This made my day,1
Not impressed,0
Thanks for sharing,1
This is so fake,0
You’re awesome!,1
So cool!,1
Love this!,1
Great post,1
Awful content,0
It’s okay I guess,0
Clickbait,0
So boring,0
Very nice,1
Really enjoyed this,1
Alright,1
Disappointing,0
Great post,1
So boring,0
You’re awesome!,1
Awful content,0
Amazing content 😍,1
Positive vibes only,1
I expected more,0
Clickbait,0
Loved it!,1
Bad post,0
Amazing content 😍,1
Terrible,0
Too cringe,0
I don’t like this,0
Could be better,0
You’re awesome!,1
Waste of time,0
Unoriginal,0
Ugly filter,0
Meh,0
Disappointing,0
Aesthetic goals,1
Great post,1
Beautiful shot,1
Maybe,0
Unoriginal,0
Brilliant content,1
Lame,0
You’re awesome!,1
Not impressed,0
Thanks for sharing,1
You’re awesome!,1
Waste of time,0
Terrible,0
Incredible post!,1
I don’t like this,0
Too cringe,0
So boring,0
Low effort,0
Brilliant content,1
Hmm,0
Clickbait,0
Incredible post!,1
Nice pic,1
Aesthetic goals,1
Really enjoyed this,1
Thanks for sharing,1
Amazing content 😍,1
Nice work,1
Unoriginal,0
You’re awesome!,1
Unoriginal,0
I don’t like this,0
Clickbait,0
You’re awesome!,1
Bad post,0
Aesthetic goals,1
Clickbait,0
You’re awesome!,1
It’s okay I guess,0
Nice pic,1
Disappointing,0
Alright,1
Thanks for sharing,1
Ugly filter,0
Aesthetic goals,1
This is so fake,0
Poor quality,0
Disappointing,0
Repetitive,0
So boring,0
Terrible,0
This is so fake,0
Amazing content 😍,1
Worst thing I’ve seen,0
Nice pic,1
Thanks for sharing,1
Really enjoyed this,1
Hmm,1
Thanks for sharing,1
Okay,0
Not sure,1
Loved it!,1
Aesthetic goals,1
Very nice,1
Disappointing,0
Terrible,0
Maybe,1
Worst thing I’ve seen,0
Really enjoyed this,1
Ugly filter,0
Clickbait,0
Nice pic,1
Great post,1
This made my day,1
Worst thing I’ve seen,0
Bad lighting,0
Ugly filter,0
Not impressed,0
Awful content,0
Great stuff,1
Beautiful shot,1
Incredible post!,1
Nice pic,1
Nice work,1
Too cringe,0
Inspiring video,1
Incredible post!,1
I expected more,0
Awful content,0
Awful content,0
I expected more,0
I expected more,0
Amazing content 😍,1
Not impressed,0
Okay,1
Ugly filter,0
Nice pic,1
Loved it!,1
Lame,0
Repetitive,0
Lame,0
Inspiring video,1
Bad lighting,0
Inspiring video,1
Disappointing,0
So boring,0
So cool!,1
I don’t like this,0
Fine,0
Nice work,1
Waste of time,0
Inspiring video,1
Too cringe,0
Aesthetic goals,1
Repetitive,0
Disappointing,0
Really enjoyed this,1
It’s okay I guess,0
Meh,1
Clickbait,0
Aesthetic goals,1
Brilliant content,1
Great post,1
